Measure,Territorial authority,Quarter,Value,Flags
"Total earnings","Rangitikei district (modified)","Mar-05",35776000,
"Total earnings","Kapiti Coast district","Mar-05",76777500,
"Total earnings","Horowhenua district","Mar-05",62309400,
"Total earnings","Upper Hutt city","Mar-05",87888900,
"Total earnings","Wellington city","Mar-05",1441723700,
"Total earnings","Porirua city","Mar-05",118084600,
"Total earnings","Lower Hutt city","Mar-05",386381700,
"Total earnings","Masterton district","Mar-05",69789100,
"Total earnings","Carterton district","Mar-05",17172600,
"Total earnings","Tasman district","Mar-05",122743000,
"Total earnings","Marlborough district","Mar-05",147478500,
"Total earnings","Nelson city","Mar-05",181373700,
"Total earnings","South Wairarapa district","Mar-05",17195700,
"Total earnings","Buller district","Mar-05",26111300,
"Total earnings","Kaikoura district","Mar-05",10041300,
"Total earnings","Westland district","Mar-05",26167400,
"Total earnings","Waimakariri district","Mar-05",66213700,
"Total earnings","Hurunui district","Mar-05",21658500,
"Total earnings","Grey district","Mar-05",53201400,
"Total earnings","Christchurch city (modified)","Mar-05",1530785800,
"Total earnings","Selwyn district","Mar-05",86547200,
"Total earnings","Ashburton district","Mar-05",97639200,
"Total earnings","Timaru district","Mar-05",149043200,
"Total earnings","Waimate district","Mar-05",14352500,
"Total earnings","Mackenzie district","Mar-05",12335900,
"Total earnings","Central Otago district","Mar-05",54982100,
"Total earnings","Waitaki district","Mar-05",66017800,
"Total earnings","Queenstown-Lakes district","Mar-05",102692600,
"Total earnings","Dunedin city","Mar-05",439387300,
"Total earnings","Southland district","Mar-05",111168200,
"Total earnings","Clutha district","Mar-05",57739000,
"Total earnings","Gore district","Mar-05",49330600,
"Total earnings","Invercargill city","Mar-05",189699600,
"Total earnings","Invercargill city","Dec-04",195104400,
"Total earnings","Gore district","Dec-04",45523700,
"Total earnings","Clutha district","Dec-04",56428600,
"Total earnings","Southland district","Dec-04",101249800,
"Total earnings","Dunedin city","Dec-04",449751500,
"Total earnings","Queenstown-Lakes district","Dec-04",100789900,
"Total earnings","Waitaki district","Dec-04",61651000,
"Total earnings","Central Otago district","Dec-04",53053200,
"Total earnings","Mackenzie district","Dec-04",11202200,
"Total earnings","Waimate district","Dec-04",14292900,
"Total earnings","Timaru district","Dec-04",155840300,
"Total earnings","Ashburton district","Dec-04",96003800,
"Total earnings","Selwyn district","Dec-04",87669300,
"Total earnings","Christchurch city (modified)","Dec-04",1606351100,
"Total earnings","Grey district","Dec-04",56105900,
"Total earnings","Hurunui district","Dec-04",20579400,
"Total earnings","Waimakariri district","Dec-04",68352000,
"Total earnings","Westland district","Dec-04",25377900,
"Total earnings","Kaikoura district","Dec-04",9967100,
"Total earnings","Buller district","Dec-04",26166300,
"Total earnings","South Wairarapa district","Dec-04",16554500,
"Total earnings","Nelson city","Dec-04",187234500,
"Total earnings","Marlborough district","Dec-04",145980600,
"Total earnings","Tasman district","Dec-04",117921600,
"Total earnings","Carterton district","Dec-04",17994500,
"Total earnings","Masterton district","Dec-04",69697800,
"Total earnings","Lower Hutt city","Dec-04",408625000,
"Total earnings","Porirua city","Dec-04",119025200,
"Total earnings","Wellington city","Dec-04",1535642800,
"Total earnings","Upper Hutt city","Dec-04",92623500,
"Total earnings","Horowhenua district","Dec-04",65642700,
"Total earnings","Kapiti Coast district","Dec-04",80455000,
"Total earnings","Rangitikei district (modified)","Dec-04",35436900,
"Total earnings","Palmerston North city","Dec-04",371091300,
"Total earnings","Tararua district","Dec-04",47193600,
"Total earnings","Manawatu district","Dec-04",65028300,
"Total earnings","Wanganui district","Dec-04",137910800,
"Total earnings","Ruapehu district (modified)","Dec-04",45558400,
"Total earnings","Stratford district","Dec-04",18291000,
"Total earnings","South Taranaki district","Dec-04",113167500,
"Total earnings","Hastings district (modified)","Dec-04",267299200,
"Total earnings","Napier city","Dec-04",179852600,
"Total earnings","New Plymouth district","Dec-04",266446900,
"Total earnings","Central Hawke's Bay district","Dec-04",43169600,
"Total earnings","Gisborne district","Dec-04",140766700,
"Total earnings","Wairoa district","Dec-04",22873900,
"Total earnings","Kaipara district","Dec-04",38226400,
"Total earnings","Rodney district","Dec-04",173750200,
"Total earnings","Whangarei district","Dec-04",239487100,
"Total earnings","North Shore city","Dec-04",783003100,
"Total earnings","Waitakere city","Dec-04",404467200,
"Total earnings","Manukau city","Dec-04",1193419300,
"Total earnings","Papakura district","Dec-04",142340200,
"Total earnings","Auckland city","Dec-04",3385929700,
"Total earnings","Franklin district","Dec-04",146407900,
"Total earnings","Thames-Coromandel district","Dec-04",69775700,
"Total earnings","Hauraki district","Dec-04",35189500,
"Total earnings","Matamata-Piako district","Dec-04",104165900,
"Total earnings","Hamilton city","Dec-04",639196700,
"Total earnings","Waikato district","Dec-04",100559800,
"Total earnings","Waipa district","Dec-04",118001700,
"Total earnings","Otorohanga district","Dec-04",24912000,
"Total earnings","South Waikato district","Dec-04",81786400,
"Total earnings","Taupo district (modified)","Dec-04",104557800,
"Total earnings","Western Bay of Plenty district","Dec-04",78391500,
"Total earnings","Waitomo district (modified)","Dec-04",32479200,
"Total earnings","Tauranga city","Dec-04",364599900,
"Total earnings","Rotorua district","Dec-04",244137900,
"Total earnings","Whakatane district (modified)","Dec-04",94073700,
"Total earnings","Kawerau district","Dec-04",44222300,
"Total earnings","Opotiki district","Dec-04",16858900,
"Total earnings","Opotiki district","Sep-04",16704000,
"Total earnings","Kawerau district","Sep-04",50133200,
"Total earnings","Whakatane district (modified)","Sep-04",90943100,
"Total earnings","Rotorua district","Sep-04",229060200,
"Total earnings","Tauranga city","Sep-04",348649700,
"Total earnings","Western Bay of Plenty district","Sep-04",80350600,
"Total earnings","Taupo district (modified)","Sep-04",96983800,
"Total earnings","Waitomo district (modified)","Sep-04",28654500,
"Total earnings","South Waikato district","Sep-04",79890900,
"Total earnings","Otorohanga district","Sep-04",22463100,
"Total earnings","Waipa district","Sep-04",107020500,
"Total earnings","Waikato district","Sep-04",91652000,
"Total earnings","Hamilton city","Sep-04",606798700,
"Total earnings","Matamata-Piako district","Sep-04",97003400,
"Total earnings","Hauraki district","Sep-04",33978800,
"Total earnings","Thames-Coromandel district","Sep-04",65133100,
"Total earnings","Franklin district","Sep-04",140544000,
"Total earnings","Auckland city","Sep-04",3263429000,
"Total earnings","Papakura district","Sep-04",136426600,
"Total earnings","Manukau city","Sep-04",1125774600,
"Total earnings","Waitakere city","Sep-04",377695800,
"Total earnings","North Shore city","Sep-04",753739500,
"Total earnings","Whangarei district","Sep-04",225224900,
"Total earnings","Kaipara district","Sep-04",36121500,
"Total earnings","Rodney district","Sep-04",160723700,
"Total earnings","Wairoa district","Sep-04",21511100,
"Total earnings","Gisborne district","Sep-04",129239700,
"Total earnings","Central Hawke's Bay district","Sep-04",41091600,
"Total earnings","New Plymouth district","Sep-04",246898900,
"Total earnings","Napier city","Sep-04",169202300,
"Total earnings","Hastings district (modified)","Sep-04",249767700,
"Total earnings","South Taranaki district","Sep-04",109662200,
"Total earnings","Stratford district","Sep-04",17365700,
"Total earnings","Ruapehu district (modified)","Sep-04",47360500,
"Total earnings","Wanganui district","Sep-04",129720000,
"Total earnings","Manawatu district","Sep-04",62323100,
"Total earnings","Tararua district","Sep-04",43093800,
"Total earnings","Palmerston North city","Sep-04",364409900,
"Total earnings","Rangitikei district (modified)","Sep-04",32707300,
"Total earnings","Kapiti Coast district","Sep-04",74266100,
"Total earnings","Horowhenua district","Sep-04",61333300,
"Total earnings","Upper Hutt city","Sep-04",86767900,
"Total earnings","Wellington city","Sep-04",1440428000,
"Total earnings","Porirua city","Sep-04",112437000,
"Total earnings","Lower Hutt city","Sep-04",384053400,
"Total earnings","Masterton district","Sep-04",66686000,
"Total earnings","Carterton district","Sep-04",17243900,
"Total earnings","Tasman district","Sep-04",110493200,
"Total earnings","Marlborough district","Sep-04",139978700,
"Total earnings","Nelson city","Sep-04",185670400,
"Total earnings","South Wairarapa district","Sep-04",15596400,
"Total earnings","Buller district","Sep-04",24101100,
"Total earnings","Kaikoura district","Sep-04",8367400,
"Total earnings","Westland district","Sep-04",21022400,
"Total earnings","Waimakariri district","Sep-04",64212800,
"Total earnings","Grey district","Sep-04",50174300,
"Total earnings","Hurunui district","Sep-04",19347400,
"Total earnings","Christchurch city (modified)","Sep-04",1505873500,
"Total earnings","Selwyn district","Sep-04",81771000,
"Total earnings","Ashburton district","Sep-04",89248800,
"Total earnings","Timaru district","Sep-04",144816700,
"Total earnings","Waimate district","Sep-04",13453400,
"Total earnings","Mackenzie district","Sep-04",10006000,
"Total earnings","Central Otago district","Sep-04",47776000,
"Total earnings","Waitaki district","Sep-04",55190100,
"Total earnings","Queenstown-Lakes district","Sep-04",97857000,
"Total earnings","Dunedin city","Sep-04",434759700,
"Total earnings","Southland district","Sep-04",84243900,
"Total earnings","Clutha district","Sep-04",50118200,
"Total earnings","Gore district","Sep-04",39674400,
"Total earnings","Invercargill city","Sep-04",184615800,
"Total earnings","Invercargill city","Jun-04",181142100,
"Total earnings","Gore district","Jun-04",44919700,
"Total earnings","Clutha district","Jun-04",52147700,
"Total earnings","Southland district","Jun-04",91343700,
"Total earnings","Dunedin city","Jun-04",419914200,
"Total earnings","Queenstown-Lakes district","Jun-04",88397300,
"Total earnings","Waitaki district","Jun-04",56758400,
"Total earnings","Central Otago district","Jun-04",46396500,
"Total earnings","Waimate district","Jun-04",12825200,
"Total earnings","Timaru district","Jun-04",141730300,
"Total earnings","Mackenzie district","Jun-04",9344900,
"Total earnings","Ashburton district","Jun-04",88711500,
"Total earnings","Selwyn district","Jun-04",79698200,
"Total earnings","Christchurch city (modified)","Jun-04",1457233300,
"Total earnings","Hurunui district","Jun-04",20292100,
"Total earnings","Grey district","Jun-04",49017100,
"Total earnings","Waimakariri district","Jun-04",61750700,
"Total earnings","Westland district","Jun-04",21072700,
"Total earnings","Kaikoura district","Jun-04",8526800,
"Total earnings","Buller district","Jun-04",23064200,
"Total earnings","South Wairarapa district","Jun-04",15254800,
"Total earnings","Nelson city","Jun-04",177692600,
"Total earnings","Marlborough district","Jun-04",135206500,
"Total earnings","Tasman district","Jun-04",115229200,
"Total earnings","Carterton district","Jun-04",16386300,
"Total earnings","Masterton district","Jun-04",65417400,
"Total earnings","Lower Hutt city","Jun-04",375863100,
"Total earnings","Porirua city","Jun-04",109742800,
"Total earnings","Wellington city","Jun-04",1393593000,
"Total earnings","Upper Hutt city","Jun-04",86296100,
"Total earnings","Horowhenua district","Jun-04",60731700,
"Total earnings","Kapiti Coast district","Jun-04",70964500,
"Total earnings","Rangitikei district (modified)","Jun-04",31675300,
"Total earnings","Palmerston North city","Jun-04",350875800,
"Total earnings","Tararua district","Jun-04",42793900,
"Total earnings","Manawatu district","Jun-04",59475800,
"Total earnings","Wanganui district","Jun-04",130320700,
"Total earnings","Ruapehu district (modified)","Jun-04",42604500,
"Total earnings","Stratford district","Jun-04",17083700,
"Total earnings","South Taranaki district","Jun-04",100961100,
"Total earnings","Hastings district (modified)","Jun-04",268122900,
"Total earnings","Napier city","Jun-04",165398400,
"Total earnings","New Plymouth district","Jun-04",236291600,
"Total earnings","Central Hawke's Bay district","Jun-04",43452500,
"Total earnings","Gisborne district","Jun-04",128077300,
"Total earnings","Wairoa district","Jun-04",22548800,
"Total earnings","Rodney district","Jun-04",153223400,
"Total earnings","Kaipara district","Jun-04",33530500,
"Total earnings","Whangarei district","Jun-04",218251300,
"Total earnings","North Shore city","Jun-04",719058900,
"Total earnings","Waitakere city","Jun-04",367432800,
"Total earnings","Manukau city","Jun-04",1095499300,
"Total earnings","Papakura district","Jun-04",130607800,
"Total earnings","Auckland city","Jun-04",3120150400,
"Total earnings","Franklin district","Jun-04",135198100,
"Total earnings","Thames-Coromandel district","Jun-04",62469800,
"Total earnings","Hauraki district","Jun-04",33191100,
"Total earnings","Matamata-Piako district","Jun-04",93293400,
"Total earnings","Hamilton city","Jun-04",577113200,
